"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"FairCauseSyn: Towards Causally Fair LLM-augmented Synthetic Data Generation","N. Nagesh; Z. Wang; A. M. Rahmani","University of California, Irvine, USA; University of California, Irvine, USA; University of California, Irvine, USA",2025 47th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"3 Dec 2025","2025","","","1","6","Synthetic data generation creates data based on real-world data using generative models. In health applications, generating high-quality data while maintaining fairness for sensitive attributes is essential for equitable outcomes. Existing GAN-based and LLM-based methods focus on counterfactual fairness and are primarily applied in finance and legal domains. Causal fairness provides a more comprehensive evaluation framework by preserving causal structure, but current synthetic data generation methods do not address it in health settings. To fill this gap, we develop the first LLM-augmented synthetic data generation method to enhance causal fairness using real-world tabular health data. Our generated data deviates by less than 10% from real data on causal fairness metrics. When trained on causally fair predictors, synthetic data reduces bias on the sensitive attribute by 70% compared to real data. This work improves access to fair synthetic data, supporting equitable health research and healthcare delivery.","2694-0604","979-8-3315-8618-8","10.1109/EMBC58623.2025.11252705","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11252705","Synthetic Data Generation;Causal Fairness;Large Language Models (LLMs);Fairness Evaluation;Health Equity","Measurement;Law;Large language models;Finance;Medical services;Data models;Synthetic data","Humans;Algorithms;Data Analysis;Large Language Models;Prediction Methods, Machine","","","24","IEEE","3 Dec 2025","14-18 July 2025","14-18 July 2025","IEEE","IEEE Conferences"
"Framework for Fairness in Machine Learning Using Detecting and Mitigating Bias in AI Algorithms","V. Koc","Lead AI Researcher, Comet ML Inc., San Francisco, California, USA",2025 3rd International Conference on Business Analytics for Technology and Security (ICBATS),"3 Dec 2025","2025","","","1","7","The importance of artificial intelligence (AI) and machine learning (ML) is on the rise as they are increasingly being used in critical decision-making in areas including healthcare, finance, and criminal justice. Their effectiveness, however, is often compromised as these systems replicate and even worsen pre-existing biases from historical data or from the designs of models, ultimately causing unfair and undesirable results. This paper describes a systematic analysis for bias detection and mitigation in machine learning algorithms. The approach includes preprocessing of data, algorithmic changes, and changes during post-processing for improvement of anticipated inequalities while keeping the performance of the model intact. The model's applicability has been illustrated in the areas of healthcare, finance, and criminal justice with case studies demonstrating the need for a trade-off between the model's accuracy and fairness. Besides, AI ethics are also advanced through transparency methods like SHAP and GradCAM, which strengthen trust in AI systems as ethical principles are ensured in the deployment of the AI systems. Though these achievements are significant, challenges on the issue of scaling, fairness definitions, and contextual variations still persist with regard to the application of AI for fairness promoting purposes, suggesting interdisciplinary directions as ways to mitigate the challenges.","","979-8-3315-3827-9","10.1109/ICBATS66542.2025.11258168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11258168","Bias in AI;Fairness-aware machine learning;Bias mitigation techniques;Ethical AI;Interpretability in AI;Synthetic data generation;Adversarial debiasing;Fair representation learning;Equalized Odds;Machine learning fairness metrics","Ethics;Machine learning algorithms;Accuracy;Systematics;Prevention and mitigation;Finance;Medical services;Data models;Standards;Synthetic data","","","","54","IEEE","3 Dec 2025","1-2 May 2025","1-2 May 2025","IEEE","IEEE Conferences"
"Investigating methods to identify and mitigate biases in AI algorithms to ensure fair and ethical outcomes","A. S. Rajawat; S. B. Goyal; D. N. Abdul-Wadood","School of Computer Science & Engineering, Sandip University, Nashik, India; Faculty of Information Technology, City University Malaysia, Petaling Jaya, Malaysia; College of Medicine University of Baghdad, Baghdad, Iraq","2024 International Conference on Augmented Reality, Intelligent Systems, and Industrial Automation (ARIIA)","1 Jul 2025","2024","","","1","8","Across sectors, from finance to healthcare, Artificial Intelligence (AI) algorithms are used for more and more of the decisions that shape our lives as individuals and collectively. But as the use of AI systems has exploded, there have been major questions about biases within these algorithms that can allow unfair and unethical results. In this paper, we explore these methods in identifying and remediating bias AI algorithms to achieve fairness and ethical integrity. First, we follow an investigation on the origins and nature of biases within AI: how crowdsourced biased training data pollutes developing models; injustice model assumptions account for these troubles unfortunately there are some scenarios that cannot justify collective decision-making. The study later discusses through some methods for identifying biases based on statistical analysis, bias auditing as well fairness through use of metrics. We learn a wide range of these biases (racial, gender and socioeconomic), as well how they appear in AI outputs. In order to tackle these problems, we survey several mitigation techniques including re- sampling strategies, algorithmic modifications and fairness constraints during training. We also broach transparency of accountability, and ethical standards in AI creation or deployment. It discusses the necessity of integrating ethicists, sociologists and AI researchers to enable robust bias mitigation frameworks. Using extensive-case studies and experimental evaluation, we show the efficacy of our proposed approaches in mitigating biases and improving AI fairness. This highlights the need for ongoing monitoring and iterative improvements to preserve ethical practices when using AI. In the end, this research is expected to help create fairer AI technologies that are trustworthy and serve all segments of society without reproducing or exacerbating existing inequities.","","979-8-3315-1836-3","10.1109/ARIIA63345.2024.11051905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11051905","Bias Mitigation;Fairness in AI;Ethical AI;Algorithmic Bias;Bias Detection Techniques;Interdisciplinary Collaboration in AI","Training;Surveys;Ethics;Statistical analysis;Prevention and mitigation;Training data;Data models;Artificial intelligence;Standards;Monitoring","","","","20","IEEE","1 Jul 2025","20-21 Dec. 2024","20-21 Dec. 2024","IEEE","IEEE Conferences"
"Integrated Framework for Equitable Healthcare AI: Bias Mitigation, Community Participation, and Regulatory Governance","J. Chandra; R. Kaur; R. Sahay","Dept. of Computer Science and Engineering, Chandigarh University, Mohali, Punjab, India; Dept. of Computer Science and Engineering, Chandigarh University, Mohali, Punjab, India; Dept. of Computer Science and Engineering, MRIIRS, Faridabad, India",2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT),"23 Apr 2025","2025","","","819","825","Artificial intelligence (AI) has revolutionized healthcare by enhancing diagnostic precision, personalizing treatments, and optimizing clinical workflows. However, algorithmic biases arising from imbalanced training data dis-proportionately affect marginalized populations, perpetuating health disparities. For instance, a widely-used predictive model underprioritized Black patients by equating healthcare costs with illness severity, restricting access to essential care. To address these challenges, this paper introduces an integrated framework combining adversarial debiasing, reinforcement learning (RL)-driven threshold optimization, synthetic data augmentation, and community engagement strategies. Empirical evaluations using the MIMIC-III dataset demonstrate near-perfect Area Under the ROC Curve (AUC = 0.994) alongside significant reductions in demographic parity (DP = 0.000) and error rate differences across subgroups. While the RL-optimized threshold ensures no missed diagnoses, it increases false positives, highlighting the trade-offs between fairness and precision. This work underscores the importance of synthesizing technical, regulatory, and community-driven approaches to promote equitable AI deployments. By embedding participatory design principles and aligning with emerging governance frameworks like the European Union’s AI Act, the proposed methodology offers a scalable pathway toward transparent, accountable, and high-impact healthcare AI solutions.","2473-5655","979-8-3315-3193-5","10.1109/CSNT64827.2025.10968102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10968102","Healthcare AI;Bias;Fairness Metrics;Reinforcement Learning(RL);Threshold Optimization;Synthetic Data Augmentation;Demographic Parity;Predictive Equity;Community Engagement;Regulatory Governance","Ethics;Prevention and mitigation;Training data;Medical services;Reinforcement learning;Prediction algorithms;Optimization;Standards;Synthetic data;Guidelines","","","","37","IEEE","23 Apr 2025","7-9 March 2025","7-9 March 2025","IEEE","IEEE Conferences"
"Advancing Multi-Modal Behavioral Biometric Authentication: A Deep Learning Approach With Synthetic Data Generation","S. Kumar Natarajan; A. Abdullah; S. Kaur; P. Natarajan","Faculty of Artificial Intelligence and Technology, Prabhu International Research Institute (PIRI), Yamanashi, Japan; Faculty of Computing and Digital Technology, HELP University, Kuala Lumpur, Malaysia; Institute of Computer Science and Digital Innovation, UCSI University, Kuala Lumpur, Malaysia; Faculty of Artificial Intelligence and Technology, Prabhu International Research Institute (PIRI), Yamanashi, Japan",IEEE Access,"28 Oct 2025","2025","13","","182286","182314","Behavioral biometrics are recognized as an important component of the next generation of authentication schemes, given their non-invasive characteristics and their ability to provide continuous monitoring as compared to traditional physiological biometrics. Existing behavioral biometric authentication systems, entail significant enrollment costs, privacy issues, and do not have widely available or systematic benchmarks across a multitude of models and a variety of types of behavioral modalities. It is the first manuscript to describe a hybrid GAN-VAE model for generating synthetic data tied to formal differential privacy guarantees (with privacy parameters  $\varepsilon = 1.0$ , and  $\delta = 10^{-5}$ ) and is also the first description of the differential privacy implementation across the nine different behavioral biometric modalities. A comparative analysis was performed of five popular artificial intelligence algorithms, Random Forest, Support Vector Machine, Long Short-Term Memory, Convolutional Neural Network, and hybrid CNN- LSTM, across a cross-modal synthetic data generation methodology that ensures privacy from the mechanism and that retains inter- modal relationships. The Authors findings show that generated data can reduce the enrollment threshold by up to 75% and the selected models can achieve >90% accuracy in pairwise authentication measurement. The hybrid CNN-LSTM model had the best overall performance having an average accuracy of 96.04% among all modalities, followed by LSTM (94.32%) and CNN (92.51%). A hybrid approach achieved the optimal performance in keystroke dynamics with an accuracy of 99.12%. Six recent benchmark datasets published between 2023 and 2025 are used for external validation, where the system outperforms the state of the art baselines by a mean of + 5.47% on all modalities. This study presents new methods for maintaining cross-modal consistency, thorough demographic bias analyses, and application strategies that have been tested and refined through active case studies. These findings carry important implications for the development of usable, large-scale, and privacy-preserving behavioral biometric authentication systems with minimal associated data collection overhead.","2169-3536","","10.1109/ACCESS.2025.3622960","Prabhu International Research Institute (PIRI), Japan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11206325","Behavioral biometrics;synthetic data generation;deep learning;authentication systems;differential privacy;multi-modal biometrics;cross-modal fusion;privacy-preserving machine learning.","Biometrics;Synthetic data;Authentication;Privacy;Differential privacy;Biological system modeling;Mathematical models;Data models;Medical services;Keystroke dynamics","","","","63","CCBYNCND","17 Oct 2025","2025","","IEEE","IEEE Journals"
"Generating Healthcare Time Series Data for Improving Diagnostic Accuracy of Deep Neural Networks","B. M. Maweu; R. Shamsuddin; S. Dakshit; B. Prabhakaran","Erik Jonsson School of Engineering and Computer Science, The University of Texas at Dallas, Richardson, TX, USA; Department of Computer Science, Oklahoma State University, Stillwater, OK, USA; Erik Jonsson School of Engineering and Computer Science, The University of Texas at Dallas, Richardson, TX, USA; Erik Jonsson School of Engineering and Computer Science, The University of Texas at Dallas, Richardson, TX, USA",IEEE Transactions on Instrumentation and Measurement,"18 May 2021","2021","70","","1","15","Data scarcity and class imbalance are common occurrences in healthcare datasets and have an adverse effect on classification performance of machine learning models. Artificial data generation in various applications can be used to handle these challenges. This article proposes a guided evolutionary synthesizer (GES), a tool derived from principles of genetic algorithm, and designed to generate artificial healthcare time series data for improving classification performance of machine learning models. We conducted a series of promising and confirmatory preliminary experiments performance using traditional machine learning and nonresidual convolutional neural network models to evaluate the effectiveness of GES synthetic on data classification. Motivated by the preliminary results, we conducted eight detailed experiments using residual neural network (ResNet), which demonstrated the flexibility of GES and the effectiveness of GES synthetic data in improving the classification performance of deep neural networks. These experiments use GES generated electrocardiogram (ECG) and electroencephalogram (EEG) datasets. Our findings show that models trained with GES synthetic data performed better than models trained with regular perturbed data, had better diagnostic performance for both EEG and ECG datasets, achieved better performance with lower training volume for EEG dataset, eased learning biases seen in the literature for ECG normal sinus and premature ventricular complex rhythms, and had better classification outcomes than comparable related work models trained with similar ECG classes.","1557-9662","","10.1109/TIM.2021.3077049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9421374","Deep neural networks (DNNs);electrocardiogram (ECG) signals;electroencephalogram (EEG) signals;healthcare time series;synthetic data;time series synthesizer","Germanium;Medical services;Data models;Brain modeling;Time series analysis;Electrocardiography;Correlation","","30","","44","IEEE","3 May 2021","2021","","IEEE","IEEE Journals"
"Deep Learning-based Data-Efficient Stroke Gait Analysis: A Focused Review","C. W. E. Chai; B. T. Lau; M. K. T. Tee","Faculty of Engineering, Computing and Science (FECS), Swinburne University of Technology Sarawak Campus, Kuching, Malaysia; Faculty of Engineering, Computing and Science (FECS), Swinburne University of Technology Sarawak Campus, Kuching, Malaysia; Faculty of Engineering, Computing and Science (FECS), Swinburne University of Technology Sarawak Campus, Kuching, Malaysia",2025 IEEE 7th Symposium on Computers & Informatics (ISCI),"24 Sep 2025","2025","","","65","69","Stroke is a leading cause of disability worldwide, often causing gait impairments that limit a person’s mobility and independence. Accurate gait analysis is critical for effective rehabilitation, but traditional evaluation approaches are based on clinical observations that lack precision and consistency and are affected by the physiotherapist’s experience. Deep learning models, especially Convolutional Neural Networks (CNNs) and Long Short-Term Memory (LSTM) networks, have been shown to have potential in gait analysis but their reliance on huge datasets restricts its relevance to stroke rehabilitation since patient-specific gait patterns have significant variability. This review explores the potential of current state-of-the-art models utilizing motion sensor data (IMU) towards learning individual strokesurvivors’ unique gait characteristics, to be studied by physiotherapists through simulation for developing individualized recovery plans. This study recommends CNNLSTM architecture, Few-Shot Learning (FSL) approaches, and synthetic data generation to address data scarcity and enhance model personalization for stroke gait analysis. However, challenges such as model complexity, clinical interpretability, lack of resolution in IMU sources and the reliability of synthetic data are some of the highlighted obstacles that demand attention for future work.","2996-6752","979-8-3315-1554-6","10.1109/ISCI65687.2025.11167370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167370","gait analysis;deep learning;CNN-LSTM;fewshot learning;synthetic data;stroke rehabilitation;patientspecific modelling","Legged locomotion;Analytical models;Adaptation models;Reviews;Stroke (medical condition);Data models;Convolutional neural networks;Gait recognition;Long short term memory;Synthetic data","","","","48","IEEE","24 Sep 2025","9-9 Aug. 2025","9-9 Aug. 2025","IEEE","IEEE Conferences"
"Advancing Cancer Research With Synthetic Data Generation in Low-Data Scenarios","P. A. Apellániz; B. A. Galende; A. Jiménez; J. Parras; S. Zazo","Information Processing and Telecommunications Center, ETS Ingenieros de Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain; Information Processing and Telecommunications Center, ETS Ingenieros de Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain; Information Processing and Telecommunications Center, ETS Ingenieros de Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain; Information Processing and Telecommunications Center, ETS Ingenieros de Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain; Information Processing and Telecommunications Center, ETS Ingenieros de Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain",IEEE Journal of Biomedical and Health Informatics,"4 Feb 2026","2026","30","2","1666","1679","The scarcity of medical data, particularly in Survival Analysis (SA) for cancer-related diseases, challenges data-driven healthcare research. While Synthetic Tabular Data Generation (STDG) models have been proposed to address this issue, most rely on datasets with abundant samples, which do not reflect real-world limitations. We suggest using an STDG approach that leverages transfer learning and meta-learning techniques to create an artificial inductive bias, guiding generative models trained on limited samples. Experiments on classification datasets across varying sample sizes validated the method’s robustness, with further clinical utility assessment on cancer-related SA data. While divergence-based similarity validation proved effective in capturing improvements in generation quality, clinical utility validation showed limited sensitivity to sample size, highlighting its shortcomings. In SA experiments, we observed that altering the task can reveal if relationships among variables are accurately generated, with most cases benefiting from the proposed methodology. Our findings confirm the method’s ability to generate high-quality synthetic data under constrained conditions. We emphasize the need to complement utility-based validation with similarity metrics, particularly in low-data settings, to assess STDG performance reliably.","2168-2208","","10.1109/JBHI.2025.3595371","European Union Horizon 2020 Research and Innovation Program(grant numbers:101017549,101095530); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11112545","Generative models;inductive bias;medical data scarcity;synthetic data generation and tabular data","Synthetic data;Data models;Medical services;Data privacy;Medical diagnostic imaging;Training;Deep learning;Correlation;Complexity theory;Cancer","Humans;Neoplasms;Survival Analysis;Biomedical Research;Databases, Factual;Machine Learning","","","57","CCBYNCND","4 Aug 2025","Feb. 2026","","IEEE","IEEE Journals"
"IPROPS - Iterative Prompt Refinement for Optimizing Privacy-Preserving Synthetic Data Generation","N. Freise; M. Heitlinger; R. Nuredini; G. Meixner",Heilbronn University of Applied Sciences; Heilbronn University of Applied Sciences; Heilbronn University of Applied Sciences; Heilbronn University of Applied Sciences,2025 IEEE 13th International Conference on Healthcare Informatics (ICHI),"22 Jul 2025","2025","","","197","208","The integration of AI in healthcare is heavily impacted by limitations associated with medical data. Data scarcity, strict privacy regulations, and inherent biases affect the development and deployment of AI solutions in medical settings. One common strategy to combat data limitations is by generating synthetic data and utilizing it for training AI models. We introduce IPROPS—a novel framework for synthetic data generation designed specifically to address the inherent limitations of medical data. IPROPS employs advanced prompt optimization techniques that enable automatic refinement of input prompts in prompt-based models and is designed to operate without requiring direct or explicit access to real patient data. Our framework operates as an integrated pipeline with components that function in an iterative manner to generate high-quality, privacy-compliant synthetic data. To validate IPROPS and demonstrate its practical utility, we implemented and evaluated a prototype. Specifically, we applied our framework to generate synthetic German cardiology discharge letters—a complex medical text generation task requiring both clinical accuracy and strict privacy preservation. Results demonstrate the effectiveness of the actor-critic feedback loop and guided mutation strategies in iterating prompts, ultimately producing synthetic data that closely resembles real data. While opportunities for enhancement remain, the IPROPS framework offers substantial benefits, especially in domains where regulatory constraints and data access restrictions present significant barriers to AI advancement.","2575-2634","979-8-3315-2094-6","10.1109/ICHI64645.2025.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081537","iterative prompt refinement;privacy-preserving AI;prompt optimization;clinical text generation;synthetic medical data","Accuracy;Computational modeling;Medical services;Brain modeling;Data models;Iterative methods;Optimization;Synthetic data;Biomedical imaging;Context modeling","","1","","56","IEEE","22 Jul 2025","18-21 June 2025","18-21 June 2025","IEEE","IEEE Conferences"
"Federated Hybrid CNN-ViT with Explainable AI for Skin Disease Diagnosis","Mr.G.Prabhakar; S. Shivani; Vanam.Meghana; S. Shaheena; S. Tejasri; T. Malini","Computer Science and Engineering, Malla Reddy Engineering College for Women, Hyderabad, India; Computer Science and Engineering, Malla Reddy Engineering College for Women, Hyderabad, India; Computer Science and Engineering, Malla Reddy Engineering College for Women, Hyderabad, India; Computer Science and Engineering, Malla Reddy Engineering College for Women, Hyderabad, India; Computer Science and Engineering, Malla Reddy Engineering College for Women, Hyderabad, India; Computer Science and Engineering, Malla Reddy Engineering College for Women, Hyderabad, India",2025 2nd International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI),"25 Feb 2026","2025","","","1","5","Skin disease ID with AI faces many tough parts. This list has things like unbalanced data, hard-to-get tech, gaps in how to see the AI's work, & use issues in actual clinics. This work brings up a new Mix Hybrid CNN-VIT model that also has Multi-Mode Clear AI (XAI). This mixed setup joins CNN's skill in close feature pulls with VT's wide area learning. This means better right hits & strong use. A shared learning setup lets many health places train the model. It does not need to share raw info. So, it keeps stuff private but makes the data set more mixed. Also, fake data made by GANs cuts bias in skin tones & disease steps not much seen. To make the AI work easier to get, the system uses multi-mode XAI. It gives both focus maps & words that match how skin docs think. Tuned for use at the edge, the model is ready for real-time use in clinics with few tools. Tests show it does better than old CNNs. It's righter & easier to see its work. This makes this way a big, fair & doc-friendly AI setup for skin checks.","","979-8-3315-8267-8","10.1109/ICAIIHI67124.2025.11403272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11403272","Federated Learning;Convolutional Neural Networks (CNN);Vision Transformers (ViT);Explainable Artificial Intelligence (XAI);Synthetic Data Generation (GANs)Edge Deployment;Dermatological Diagnostics;Medical Image Classification","Computer vision;Explainable AI;Hospitals;Federated learning;Transformers;Skin;Convolutional neural networks;Medical diagnosis;Lesions;Diseases","","","","17","IEEE","25 Feb 2026","4-5 Dec. 2025","4-5 Dec. 2025","IEEE","IEEE Conferences"
