PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37595864","Advancing AI in healthcare: A comprehensive review of best practices","Polevikov S.","Clin Chim Acta. 2023 Aug 1;548:117519. doi: 10.1016/j.cca.2023.117519. Epub 2023 Aug 16.","Polevikov S","Clin Chim Acta","2023","2023/08/18","","","10.1016/j.cca.2023.117519"
"34470740","Use of artificial intelligence for image analysis in breast cancer screening programmes: systematic review of test accuracy","Freeman K, Geppert J, Stinton C, Todkill D, Johnson S, Clarke A, Taylor-Phillips S.","BMJ. 2021 Sep 1;374:n1872. doi: 10.1136/bmj.n1872.","Freeman K","BMJ","2021","2021/09/02","PMC8409323","","10.1136/bmj.n1872"
"39715552","Machine Learning and Deep Learning for Diagnosis of Lumbar Spinal Stenosis: Systematic Review and Meta-Analysis","Wang T, Chen R, Fan N, Zang L, Yuan S, Du P, Wu Q, Wang A, Li J, Kong X, Zhu W.","J Med Internet Res. 2024 Dec 23;26:e54676. doi: 10.2196/54676.","Wang T","J Med Internet Res","2024","2024/12/23","PMC11704645","","10.2196/54676"
"40324611","Artificial intelligence (AI) in point-of-care testing","Pillay TS, Khan AI, Yenice S.","Clin Chim Acta. 2025 Jun 15;574:120341. doi: 10.1016/j.cca.2025.120341. Epub 2025 May 3.","Pillay TS","Clin Chim Acta","2025","2025/05/05","","","10.1016/j.cca.2025.120341"
"35124180","A data-driven deep learning pipeline for quantitative susceptibility mapping (QSM)","Wang Z, Xia P, Huang F, Wei H, Hui ES, Mak HK, Cao P.","Magn Reson Imaging. 2022 May;88:89-100. doi: 10.1016/j.mri.2022.01.018. Epub 2022 Feb 3.","Wang Z","Magn Reson Imaging","2022","2022/02/06","","","10.1016/j.mri.2022.01.018"
"40898015","Artificial intelligence in headache medicine: between automation and the doctor-patient relationship. A systematic review","Espinoza-Vinces C, Martínez MC, Atorrasagasti-Villar A, Rodríguez MDMG, Ezpeleta D, Irimia P.","J Headache Pain. 2025 Sep 2;26(1):192. doi: 10.1186/s10194-025-02143-8.","Espinoza-Vinces C","J Headache Pain","2025","2025/09/02","PMC12406602","","10.1186/s10194-025-02143-8"
"40558281","Artificial Intelligence in Laryngeal Cancer Detection: A Systematic Review and Meta-Analysis","Alabdalhussein A, Al-Khafaji MH, Al-Busairi R, Al-Dabbagh S, Khan W, Anwar F, Raheem TS, Elkrim M, Sahota RB, Mair M.","Curr Oncol. 2025 Jun 9;32(6):338. doi: 10.3390/curroncol32060338.","Alabdalhussein A","Curr Oncol","2025","2025/06/25","PMC12191837","","10.3390/curroncol32060338"
"36511448","Mimicking Clinical Trials Using Real-World Data: A Novel Method and Applications","Wang WJ, Bansal A, Bennette CS, Basu A.","Med Decis Making. 2023 Apr;43(3):275-287. doi: 10.1177/0272989X221141381. Epub 2022 Dec 13.","Wang WJ","Med Decis Making","2023","2022/12/13","","","10.1177/0272989X221141381"
"37203680","Domain Knowledge-Driven Generation of Synthetic Healthcare Data","Hashemi AS, Soliman A, Lundström J, Etminani K.","Stud Health Technol Inform. 2023 May 18;302:352-353. doi: 10.3233/SHTI230136.","Hashemi AS","Stud Health Technol Inform","2023","2023/05/19","","","10.3233/SHTI230136"
"40760335","The state of the art in artificial intelligence and digital pathology in prostate cancer","Ni HM, Kouzy R, Sabbagh A, Rooney MK, Feng J, Castillo SP, Gadoue SM, El Kouzi Z, Hoffman K, Yuan Y, Madabhushi A, Mohamad O.","Nat Rev Urol. 2026 Jan;23(1):13-28. doi: 10.1038/s41585-025-01070-2. Epub 2025 Aug 4.","Ni HM","Nat Rev Urol","2026","2025/08/05","","","10.1038/s41585-025-01070-2"
"33986900","Machine Learning and Intelligent Diagnostics in Dental and Orofacial Pain Management: A Systematic Review","Farook TH, Jamayet NB, Abdullah JY, Alam MK.","Pain Res Manag. 2021 Apr 24;2021:6659133. doi: 10.1155/2021/6659133. eCollection 2021.","Farook TH","Pain Res Manag","2021","2021/05/14","PMC8093041","","10.1155/2021/6659133"
"38467001","The Impact of Health Care Algorithms on Racial and Ethnic Disparities : A Systematic Review","Siddique SM, Tipton K, Leas B, Jepson C, Aysola J, Cohen JB, Flores E, Harhay MO, Schmidt H, Weissman GE, Fricke J, Treadwell JR, Mull NK.","Ann Intern Med. 2024 Apr;177(4):484-496. doi: 10.7326/M23-2960. Epub 2024 Mar 12.","Siddique SM","Ann Intern Med","2024","2024/03/11","","","10.7326/M23-2960"
"40810585","Lung Ultrasound Findings and Algorithms to Detect Pneumonia: A Systematic Review and Diagnostic Testing Meta-Analysis","Padrao EMH, Caldeira Antonio B, Gardner TA, Miyawaki IA, Gomes C, Riceto Loyola Junior JE, Daibes Rachid de Andrade M, Reis Marques I, Azevedo Ferreira de Souza I, Hellen Azevedo da Silva C, Caporal Salles Moreira V, Pablo Bustos B, Barreto do Amaral Neto A, Rubin J.","Crit Care Med. 2025 Nov 1;53(11):e2271-e2281. doi: 10.1097/CCM.0000000000006818. Epub 2025 Aug 14.","Padrao EMH","Crit Care Med","2025","2025/08/14","","","10.1097/CCM.0000000000006818"
"37772513","Artificial intelligence for treatment planning and soft tissue outcome prediction of orthognathic treatment: A systematic review","Salazar D, Rossouw PE, Javed F, Michelogiannakis D.","J Orthod. 2024 Jun;51(2):107-119. doi: 10.1177/14653125231203743. Epub 2023 Sep 29.","Salazar D","J Orthod","2024","2023/09/29","","","10.1177/14653125231203743"
"37146391","Feasibility and effectiveness of artificial intelligence-driven conversational agents in healthcare interventions: A systematic review of randomized controlled trials","Li Y, Liang S, Zhu B, Liu X, Li J, Chen D, Qin J, Bressington D.","Int J Nurs Stud. 2023 Jul;143:104494. doi: 10.1016/j.ijnurstu.2023.104494. Epub 2023 Apr 5.","Li Y","Int J Nurs Stud","2023","2023/05/05","","","10.1016/j.ijnurstu.2023.104494"
"41330822","Synthetic data, synthetic trust: navigating data challenges in the digital revolution","Koul A, Duran D, Hernandez-Boussard T.","Lancet Digit Health. 2025 Nov;7(11):100924. doi: 10.1016/j.landig.2025.100924. Epub 2025 Dec 1.","Koul A","Lancet Digit Health","2025","2025/12/02","PMC12778113","NIHMS2130947","10.1016/j.landig.2025.100924"
"40557558","Emerging Technologies and Algorithms for Periodontal Screening and Risk of Disease Progression in Non-Dental Settings: A Scoping Review","Montero E, Sánchez N, Sanz-Sánchez I, López-Durán M, de Albornoz AC, Dietrich T.","J Clin Periodontol. 2025 Aug;52 Suppl 29:246-291. doi: 10.1111/jcpe.14168. Epub 2025 Jun 25.","Montero E","J Clin Periodontol","2025","2025/06/25","","","10.1111/jcpe.14168"
"40578029","AI-Powered Problem- and Case-based Learning in Medical and Dental Education: A Systematic Review and Meta-analysis","Wei H, Dai Y, Yuan K, Li KY, Hung KF, Hu EM, Lee AHC, Chang JWW, Zhang C, Li X.","Int Dent J. 2025 Aug;75(4):100858. doi: 10.1016/j.identj.2025.100858. Epub 2025 Jun 26.","Wei H","Int Dent J","2025","2025/06/27","PMC12268559","","10.1016/j.identj.2025.100858"
"38687025","Deep Learning Synthesis of White-Blood From Dark-Blood Late Gadolinium Enhancement Cardiac Magnetic Resonance","Jaspers TJM, Martens B, Crawley R, Jada L, Amirrajab S, Breeuwer M, Holtackers RJ, Chiribiri A, Scannell CM.","Invest Radiol. 2024 Nov 1;59(11):767-773. doi: 10.1097/RLI.0000000000001086. Epub 2024 May 1.","Jaspers TJM","Invest Radiol","2024","2024/04/30","","","10.1097/RLI.0000000000001086"
"37477930","Clinical Applications of Machine Learning in the Management of Intraocular Cancers: A Narrative Review","Chandrabhatla AS, Horgan TM, Cotton CC, Ambati NK, Shildkrot YE.","Invest Ophthalmol Vis Sci. 2023 Jul 3;64(10):29. doi: 10.1167/iovs.64.10.29.","Chandrabhatla AS","Invest Ophthalmol Vis Sci","2023","2023/07/21","PMC10365137","","10.1167/iovs.64.10.29"
"38687694","Deep multiple instance learning versus conventional deep single instance learning for interpretable oral cancer detection","Koriakina N, Sladoje N, Bašić V, Lindblad J.","PLoS One. 2024 Apr 30;19(4):e0302169. doi: 10.1371/journal.pone.0302169. eCollection 2024.","Koriakina N","PLoS One","2024","2024/04/30","PMC11060593","","10.1371/journal.pone.0302169"
"38942737","Towards objective and systematic evaluation of bias in artificial intelligence for medical imaging","Stanley EAM, Souza R, Winder AJ, Gulve V, Amador K, Wilms M, Forkert ND.","J Am Med Inform Assoc. 2024 Nov 1;31(11):2613-2621. doi: 10.1093/jamia/ocae165.","Stanley EAM","J Am Med Inform Assoc","2024","2024/06/28","PMC11491635","","10.1093/jamia/ocae165"
"41621772","Synthetic data in the clinical laboratory: methods, applications, and future prospects","Pillay TS, van Deventer BS, Gwiliza S, Subramoney EL, van Niekerk C.","Clin Chim Acta. 2026 Apr 1;585:120878. doi: 10.1016/j.cca.2026.120878. Epub 2026 Jan 30.","Pillay TS","Clin Chim Acta","2026","2026/02/01","","","10.1016/j.cca.2026.120878"
"39809456","Conditional Generative Models for Synthetic Tabular Data: Applications for Precision Medicine and Diverse Representations","Liu K, Altman RB.","Annu Rev Biomed Data Sci. 2025 Aug;8(1):21-49. doi: 10.1146/annurev-biodatasci-103123-094844. Epub 2025 Jan 14.","Liu K","Annu Rev Biomed Data Sci","2025","2025/01/14","","","10.1146/annurev-biodatasci-103123-094844"
"35659246","Machine learning methods for functional recovery prediction and prognosis in post-stroke rehabilitation: a systematic review","Campagnini S, Arienti C, Patrini M, Liuzzi P, Mannini A, Carrozza MC.","J Neuroeng Rehabil. 2022 Jun 3;19(1):54. doi: 10.1186/s12984-022-01032-4.","Campagnini S","J Neuroeng Rehabil","2022","2022/06/06","PMC9166382","","10.1186/s12984-022-01032-4"
"35266565","Missing data imputation in clinical trials using recurrent neural network facilitated by clustering and oversampling","Haliduola HN, Bretz F, Mansmann U.","Biom J. 2022 Jun;64(5):863-882. doi: 10.1002/bimj.202000393. Epub 2022 Mar 10.","Haliduola HN","Biom J","2022","2022/03/10","","","10.1002/bimj.202000393"
"40899524","Towards Fairness in Synthetic Healthcare Data: A Framework for the Evaluation of Synthetization Algorithms","Warnecke Y, Kuhn M, Diederichs F, Brix TJ, Clever L, Bergmann R, Heider D, Storck M.","Stud Health Technol Inform. 2025 Sep 3;331:25-34. doi: 10.3233/SHTI251376.","Warnecke Y","Stud Health Technol Inform","2025","2025/09/03","","","10.3233/SHTI251376"
"37451495","Generating synthetic clinical data that capture class imbalanced distributions with generative adversarial networks: Example using antiretroviral therapy for HIV","Kuo NI, Garcia F, Sönnerborg A, Böhm M, Kaiser R, Zazzi M; EuResist Network study group; Polizzotto M, Jorm L, Barbieri S.","J Biomed Inform. 2023 Aug;144:104436. doi: 10.1016/j.jbi.2023.104436. Epub 2023 Jul 13.","Kuo NI","J Biomed Inform","2023","2023/07/14","","","10.1016/j.jbi.2023.104436"
"37770204","Systematic Literature Review of Machine Learning Algorithms Using Pretherapy Radiologic Imaging for Glioma Molecular Subtype Prediction","Lost J, Verma T, Jekel L, von Reppert M, Tillmanns N, Merkaj S, Petersen GC, Bahar R, Gordem A, Haider MA, Subramanian H, Brim W, Ikuta I, Omuro A, Conte GM, Marquez-Nostra BV, Avesta A, Bousabarah K, Nabavizadeh A, Kazerooni AF, Aneja S, Bakas S, Lin M, Sabel M, Aboian M.","AJNR Am J Neuroradiol. 2023 Oct;44(10):1126-1134. doi: 10.3174/ajnr.A8000.","Lost J","AJNR Am J Neuroradiol","2023","2023/09/28","PMC10549943","","10.3174/ajnr.A8000"
"37698452","National ICU Registries as Enablers of Clinical Research and Quality Improvement","Salluh JIF, Quintairos A, Dongelmans DA, Aryal D, Bagshaw S, Beane A, Burghi G, López MDPA, Finazzi S, Guidet B, Hashimoto S, Ichihara N, Litton E, Lone NI, Pari V, Sendagire C, Vijayaraghavan BKT, Haniffa R, Pisani L, Pilcher D; Linking of Global Intensive Care (LOGIC) and Japanese Intensive care PAtient Database (JIPAD) Working Group.","Crit Care Med. 2024 Jan 1;52(1):125-135. doi: 10.1097/CCM.0000000000006050. Epub 2023 Sep 12.","Salluh JIF","Crit Care Med","2024","2023/09/12","","","10.1097/CCM.0000000000006050"
"39657652","From Code to Clots: Applying Machine Learning to Clinical Aspects of Venous Thromboembolism Prevention, Diagnosis, and Management","Chrysafi P, Lam B, Carton S, Patell R.","Hamostaseologie. 2024 Dec;44(6):429-445. doi: 10.1055/a-2415-8408. Epub 2024 Dec 10.","Chrysafi P","Hamostaseologie","2024","2024/12/10","","","10.1055/a-2415-8408"
"38663993","Evaluating Biases and Quality Issues in Intermodality Image Translation Studies for Neuroradiology: A Systematic Review","Walston SL, Tatekawa H, Takita H, Miki Y, Ueda D.","AJNR Am J Neuroradiol. 2024 Jun 7;45(6):826-832. doi: 10.3174/ajnr.A8211.","Walston SL","AJNR Am J Neuroradiol","2024","2024/04/25","PMC11288590","","10.3174/ajnr.A8211"
"36827273","Bayesian network modeling of risk and prodromal markers of Parkinson's disease","Sood M, Suenkel U, von Thaler AK, Zacharias HU, Brockmann K, Eschweiler GW, Maetzler W, Berg D, Fröhlich H, Heinzel S.","PLoS One. 2023 Feb 24;18(2):e0280609. doi: 10.1371/journal.pone.0280609. eCollection 2023.","Sood M","PLoS One","2023","2023/02/24","PMC9955606","","10.1371/journal.pone.0280609"
"40732431","Synthetic Patient-Physician Conversations Simulated by Large Language Models: A Multi-Dimensional Evaluation","Haider SA, Prabha S, Gomez-Cabello CA, Borna S, Genovese A, Trabilsy M, Collaco BG, Wood NG, Bagaria S, Tao C, Forte AJ.","Sensors (Basel). 2025 Jul 10;25(14):4305. doi: 10.3390/s25144305.","Haider SA","Sensors (Basel)","2025","2025/07/30","PMC12298718","","10.3390/s25144305"
"39928932","Machine Learning in the Management of Patients Undergoing Catheter Ablation for Atrial Fibrillation: Scoping Review","Luo A, Chen W, Zhu H, Xie W, Chen X, Liu Z, Xin Z.","J Med Internet Res. 2025 Feb 10;27:e60888. doi: 10.2196/60888.","Luo A","J Med Internet Res","2025","2025/02/10","PMC11851043","","10.2196/60888"
