Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Review of generative AI for synthetic data generation: a healthcare perspective,Artificial Intelligence Review,,,,10.1007/s10462-025-11440-2,Hafiz Muhammad WaseemSaif Ul IslamNikolaos MatragkasGregory EpiphaniouTheodoros N. ArvanitisCarsten Maple,2025,https://link.springer.com/article/10.1007/s10462-025-11440-2,Article
Artificial intelligence-generated synthetic data for cancer research and clinical trials,Nature Reviews Cancer,,,,10.1038/s41568-026-00912-4,Jan-Niklas EckardtWaldemar HahnArsela PrelajMartin BornhäuserJan Moritz MiddekeJakob Nikolas Kather,2026,https://link.springer.com/article/10.1038/s41568-026-00912-4,Article
Algorithmic fairness in artificial intelligence for medicine and healthcare,Nature Biomedical Engineering,,,,10.1038/s41551-023-01056-8,Richard J. ChenJudy J. WangDrew F. K. WilliamsonTiffany Y. ChenJana LipkovaMing Y. LuSharifa SahaiFaisal Mahmood,2023,https://link.springer.com/article/10.1038/s41551-023-01056-8,Article
"Artificial intelligence in healthcare and medicine: clinical applications, therapeutic advances, and future perspectives",European Journal of Medical Research,,,,10.1186/s40001-025-03196-w,Yosri A. FahimIbrahim W. HasaniSamer KabbaWaleed Mahmoud Ragab,2025,https://link.springer.com/article/10.1186/s40001-025-03196-w,Article
Bias recognition and mitigation strategies in artificial intelligence healthcare applications,npj Digital Medicine,,,,10.1038/s41746-025-01503-7,Fereshteh HasanzadehColin B. JosephsonGabriella WatersDemilade AdedinsewoZahra AziziJames A. White,2025,https://link.springer.com/article/10.1038/s41746-025-01503-7,Article
Generative Artificial Intelligence Use in Healthcare: Opportunities for Clinical Excellence and Administrative Efficiency,Journal of Medical Systems,,,,10.1007/s10916-024-02136-1,Soumitra S. BhuyanVidyoth SateeshNaya MukulAlay GalvankarAsos MahmoodMuhammad NaumanAkash RaiKahuwa BordoloiUrmi BasuJim Samuel,2025,https://link.springer.com/article/10.1007/s10916-024-02136-1,Article
"Artificial intelligence-generated content (AIGC) in biomedical research, healthcare delivery, and clinical practices: technologies, applications, and regulatory considerations",Artificial Intelligence Review,,,,10.1007/s10462-025-11487-1,Jiancheng Ye,2026,https://link.springer.com/article/10.1007/s10462-025-11487-1,Article
Synthetic data in biomedicine via generative artificial intelligence,Nature Reviews Bioengineering,,,,10.1038/s44222-024-00245-7,Boris van BreugelTennison LiuDino OglicMihaela van der Schaar,2024,https://link.springer.com/article/10.1038/s44222-024-00245-7,Article
Large language models for clinical artificial intelligence in healthcare a systematic review,Discover Artificial Intelligence,,,,10.1007/s44163-025-00784-x,Rawan GhnematAmro Saleh,2026,https://link.springer.com/article/10.1007/s44163-025-00784-x,Article
Explainable artificial intelligence for medical imaging systems using deep learning: a comprehensive review,Cluster Computing,,,,10.1007/s10586-025-05281-5,Essam H. HousseinAmr M. GamalEman M. G. YounisEbtsam Mohamed,2025,https://link.springer.com/article/10.1007/s10586-025-05281-5,Article
